RA,DEC,z
149.8991,22.41,0.0
151.2966,74.8239,0.0
150.7453,67.1583,0.2055
150.1024,-15.3906,0.0
150.2906,-0.1077,0.0888
150.6424,20.4749,0.1675
152.1082,71.2385,0.0
151.4572,50.9231,0.0
150.968,-19.3761,0.0
151.9471,62.5054,0.0
152.6161,73.7374,0.0
151.2393,-0.6933,0.0
151.8336,55.2723,0.0
151.3835,7.4231,0.0
152.5971,71.0207,0.0
151.6309,25.9059,0.1162
151.7617,35.6556,0.0989
151.7093,27.1224,0.0
151.694,21.6891,0.0
152.0506,50.3217,0.0
151.718,11.5056,0.0
151.9695,38.0052,0.0
151.7278,-5.6278,0.0
151.7091,-13.4111,0.0
152.0129,19.5883,0.0
151.9171,0.5218,0.0
152.1568,17.2546,0.0
152.6586,55.987,0.0
152.3152,29.5543,0.0
152.2235,13.9711,0.0
152.3594,18.4042,0.0
152.1896,-11.3122,0.0
152.2768,-16.6291,0.0
152.4243,3.6873,0.0
152.8609,19.2864,0.0
153.0509,33.6193,0.0
152.7863,-2.0302,0.0
153.9184,69.0844,0.0917
153.1222,23.8525,0.0
153.7877,63.0679,0.0
154.2544,72.3004,0.0
153.1052,6.4191,0.0
153.6645,49.8181,0.0
153.4782,34.7184,0.1427
153.4362,19.7684,0.0
153.2798,-15.948,0.0
153.4156,-0.1316,0.0
153.2334,-24.448,0.0
153.8503,47.1677,0.0
153.4889,-0.9151,0.044
154.0484,41.0005,0.0
154.3746,59.5499,0.0
154.6918,66.216,0.0
154.1228,33.617,0.0
154.7089,63.4659,0.0
154.2902,39.0167,0.206
154.1477,24.8002,0.0
154.6597,49.8826,0.0
154.0575,-25.3831,0.0
154.6057,43.4327,0.0
155.2895,68.2648,0.0
154.6367,30.3659,0.0
154.3929,-10.7004,0.0
154.9448,40.9653,0.0
154.9896,39.5485,0.0
154.8578,8.0653,0.0
154.9208,14.0486,0.0
